	sub	emotion	mapping	intensity	score
9134	14	fear	Cordaro2008IPC	5	0.6997080291970803
495	14	happy	Cordaro2008IPC	1	0.6116143086448063
2655	14	happy	Cordaro2008IPC	2	0.7622557230597432
4815	14	happy	Cordaro2008IPC	3	0.7579870729455217
6975	14	happy	Cordaro2008IPC	4	0.8135696821515892
9135	14	happy	Cordaro2008IPC	5	0.8463369216123193
496	14	sadness	Cordaro2008IPC	1	0.5364583333333334
2656	14	sadness	Cordaro2008IPC	2	0.5879015721120984
4816	14	sadness	Cordaro2008IPC	3	0.6196953918250455
6976	14	sadness	Cordaro2008IPC	4	0.6484628897672376
9136	14	sadness	Cordaro2008IPC	5	0.7527726902726903
497	14	surprise	Cordaro2008IPC	1	0.7602368866328257
2657	14	surprise	Cordaro2008IPC	2	0.7570168404170008
4817	14	surprise	Cordaro2008IPC	3	0.8088396514915469
6977	14	surprise	Cordaro2008IPC	4	0.812870182555781
9137	14	surprise	Cordaro2008IPC	5	0.8565152067018759
528	15	anger	Cordaro2008IPC	1	0.5936768149882903
2688	15	anger	Cordaro2008IPC	2	0.29526825633383014
4848	15	anger	Cordaro2008IPC	3	0.49816753926701574
7008	15	anger	Cordaro2008IPC	4	0.4018865121806299
9168	15	anger	Cordaro2008IPC	5	0.48082766830613083
529	15	disgust	Cordaro2008IPC	1	0.6332692307692307
2689	15	disgust	Cordaro2008IPC	2	0.7312972176156256
4849	15	disgust	Cordaro2008IPC	3	0.7973078206697074
7009	15	disgust	Cordaro2008IPC	4	0.8299874113827602
9169	15	disgust	Cordaro2008IPC	5	0.7594131006454697
530	15	fear	Cordaro2008IPC	1	0.4797017398508699
2690	15	fear	Cordaro2008IPC	2	0.5185185185185186
4850	15	fear	Cordaro2008IPC	3	0.5093777051072423
7010	15	fear	Cordaro2008IPC	4	0.5531786258530444
9170	15	fear	Cordaro2008IPC	5	0.5933999884413107
531	15	happy	Cordaro2008IPC	1	0.6442307692307692
2691	15	happy	Cordaro2008IPC	2	0.757569558101473
4851	15	happy	Cordaro2008IPC	3	0.7244715417472892
7011	15	happy	Cordaro2008IPC	4	0.7939947376567097
9171	15	happy	Cordaro2008IPC	5	0.7977522115338135
532	15	sadness	Cordaro2008IPC	1	0.6572971781305115
2692	15	sadness	Cordaro2008IPC	2	0.7289636127355426
4852	15	sadness	Cordaro2008IPC	3	0.752803174055546
7012	15	sadness	Cordaro2008IPC	4	0.7575520048236358
9172	15	sadness	Cordaro2008IPC	5	0.8420228202084157
533	15	surprise	Cordaro2008IPC	1	0.8426175927241722
2693	15	surprise	Cordaro2008IPC	2	0.7678571428571429
4853	15	surprise	Cordaro2008IPC	3	0.7693181818181818
7013	15	surprise	Cordaro2008IPC	4	0.8324307330331426
9173	15	surprise	Cordaro2008IPC	5	0.7663014218009478
564	16	anger	Cordaro2008IPC	1	0.5743239603533722
2724	16	anger	Cordaro2008IPC	2	0.5548724112426036
4884	16	anger	Cordaro2008IPC	3	0.5619633838383838
7044	16	anger	Cordaro2008IPC	4	0.5893998153277932
9204	16	anger	Cordaro2008IPC	5	0.6013862399404568
565	16	disgust	Cordaro2008IPC	1	0.6040730757711891
2725	16	disgust	Cordaro2008IPC	2	0.6601463551927946
4885	16	disgust	Cordaro2008IPC	3	0.6991689215307306
7045	16	disgust	Cordaro2008IPC	4	0.6752303685897436
9205	16	disgust	Cordaro2008IPC	5	0.7126440092165899
566	16	fear	Cordaro2008IPC	1	0.6811529933481153
