	sub	emotion	tk	intensity	score
263	09	surprise	Cordaro2008ref	1	0.8852040816326532
264	09	anger	Ekman	1	0.5307118254879448
265	09	disgust	Ekman	1	0.5220835809071103
266	09	fear	Ekman	1	0.5609315760967684
267	09	happy	Ekman	1	0.6203015075376885
268	09	sadness	Ekman	1	0.578604118993135
269	09	surprise	Ekman	1	0.910204081632653
270	10	anger	Darwin	1	0.5043140638481449
271	10	disgust	Darwin	1	0.5137215528781793
272	10	fear	Darwin	1	0.7392032762472076
273	10	happy	Darwin	1	0.5982551487414188
274	10	sadness	Darwin	1	0.524390243902439
275	10	surprise	Darwin	1	0.8145773979107311
276	10	anger	Matsumoto2008	1	0.5972821397756687
277	10	disgust	Matsumoto2008	1	0.44109772423025434
278	10	fear	Matsumoto2008	1	0.6569247952345495
279	10	happy	Matsumoto2008	1	0.6387299771167049
280	10	sadness	Matsumoto2008	1	0.5282207629768605
281	10	surprise	Matsumoto2008	1	0.8254985754985755
282	10	anger	Keltner2019	1	0.5727638769053782
283	10	disgust	Keltner2019	1	0.37416331994645247
284	10	fear	Keltner2019	1	0.6403574087862993
285	10	happy	Keltner2019	1	0.5461956521739129
286	10	sadness	Keltner2019	1	0.49304252657911196
287	10	surprise	Keltner2019	1	0.8228869895536562
288	10	anger	Cordaro2008ref	1	0.5746333045729077
289	10	disgust	Cordaro2008ref	1	0.36646586345381527
290	10	fear	Cordaro2008ref	1	0.6003350707371556
291	10	happy	Cordaro2008ref	1	0.6008295194508009
292	10	sadness	Cordaro2008ref	1	0.5203252032520326
293	10	surprise	Cordaro2008ref	1	0.7832383665717
294	10	anger	Ekman	1	0.600661489790049
295	10	disgust	Ekman	1	0.41967871485943775
296	10	fear	Ekman	1	0.6829858525688756
297	10	happy	Ekman	1	0.6118421052631579
298	10	sadness	Ekman	1	0.5208724202626642
299	10	surprise	Ekman	1	0.7839506172839505
300	11	anger	Darwin	1	0.5313735177865613
301	11	disgust	Darwin	1	0.5461427267194158
302	11	fear	Darwin	1	0.5579532879026151
303	11	happy	Darwin	1	0.5498450413223142
304	11	sadness	Darwin	1	0.5065298507462687
305	11	surprise	Darwin	1	0.7994467496542186
306	11	anger	Matsumoto2008	1	0.6862154150197629
307	11	disgust	Matsumoto2008	1	0.517802799756543
308	11	fear	Matsumoto2008	1	0.6265361989632477
309	11	happy	Matsumoto2008	1	0.5550103305785126
310	11	sadness	Matsumoto2008	1	0.6315298507462687
311	11	surprise	Matsumoto2008	1	0.8302527348170501
312	11	anger	Keltner2019	1	0.47060276679841895
313	11	disgust	Keltner2019	1	0.4675897748021911
314	11	fear	Keltner2019	1	0.5155221620362281
315	11	happy	Keltner2019	1	0.4832773760330579
316	11	sadness	Keltner2019	1	0.5214552238805971
317	11	surprise	Keltner2019	1	0.7450647554381995
318	11	anger	Cordaro2008ref	1	0.6706521739130434
319	11	disgust	Cordaro2008ref	1	0.5117924528301887
320	11	fear	Cordaro2008ref	1	0.4887588094822063
321	11	happy	Cordaro2008ref	1	0.5021306818181819
322	11	sadness	Cordaro2008ref	1	0.7114427860696518
323	11	surprise	Cordaro2008ref	1	0.798880925436942
324	11	anger	Ekman	1	0.6709980237154151
325	11	disgust	Ekman	1	0.47987674984783935
326	11	fear	Ekman	1	0.5986662007105831
327	11	happy	Ekman	1	0.542032541322314
328	11	sadness	Ekman	1	0.4856965174129353
329	11	surprise	Ekman	1	0.8264805733685402
330	12	anger	Darwin	1	0.5752873563218391
331	12	disgust	Darwin	1	0.632421642741867
332	12	fear	Darwin	1	0.6246127851309491
333	12	happy	Darwin	1	0.5986394557823129
334	12	sadness	Darwin	1	0.6459003831417623
335	12	surprise	Darwin	1	0.8001567398119123
336	12	anger	Matsumoto2008	1	0.6629669540229886
337	12	disgust	Matsumoto2008	1	0.610209802089527
338	12	fear	Matsumoto2008	1	0.6834225100910541
339	12	happy	Matsumoto2008	1	0.6294784580498867
340	12	sadness	Matsumoto2008	1	0.598927203065134
341	12	surprise	Matsumoto2008	1	0.804858934169279
342	12	anger	Keltner2019	1	0.43290229885057474
343	12	disgust	Keltner2019	1	0.5147371103372123
344	12	fear	Keltner2019	1	0.5753778278419226
345	12	happy	Keltner2019	1	0.5156462585034014
346	12	sadness	Keltner2019	1	0.4934865900383142
347	12	surprise	Keltner2019	1	0.7462774294670848
348	12	anger	Cordaro2008ref	1	0.6660919540229885
349	12	disgust	Cordaro2008ref	1	0.603924233415442
350	12	fear	Cordaro2008ref	1	0.534027973340843
351	12	happy	Cordaro2008ref	1	0.5782312925170068
352	12	sadness	Cordaro2008ref	1	0.5410727969348659
353	12	surprise	Cordaro2008ref	1	0.8065242946708463
354	12	anger	Ekman	1	0.6474137931034483
355	12	disgust	Ekman	1	0.5566550581839803
356	12	fear	Ekman	1	0.7020557589411434
357	12	happy	Ekman	1	0.6333333333333333
358	12	sadness	Ekman	1	0.5026053639846744
359	12	surprise	Ekman	1	0.8045650470219436
360	13	anger	Darwin	1	0.5110045662100456
361	13	disgust	Darwin	1	0.516923436041083
362	13	fear	Darwin	1	0.6593080149114632
363	13	happy	Darwin	1	0.7060609178843383
364	13	sadness	Darwin	1	0.5406858766233766
365	13	surprise	Darwin	1	0.7302083333333333
366	13	anger	Matsumoto2008	1	0.5016438356164383
